Player,height,weight,collage,born,birth_city,birth_state
Stanislav Medvedenko,208,113,,1979,Karapyshi,Ukraine
Stan Washington,193,86,University of San Diego,1952,Washington,District of Columbia
Stan Pietkiewicz,196,90,Auburn University,1956,Huntsville,Alabama
Stan Patrick,188,83,University of Illinois at Urbana-Champaign,1922,,
Stan Miasek,196,95,,1924,,
Stan McKenzie,196,88,New York University,1944,Miami,Florida
Stan Love,206,97,University of Oregon,1949,Los Angeles,California
Stan Kimbrough,180,69,Xavier University,1966,Tuscaloosa,Alabama
Stan Brown,190,90,,1929,,
Stacey King,211,104,University of Oklahoma,1967,Lawton,Oklahoma
Stacey Augmon,203,92,"University of Nevada, Las Vegas",1968,Pasadena,California
Stacey Arceneaux,193,95,Iowa State University,1936,,
Spud Webb,168,60,North Carolina State University,1963,Dallas,Texas
Spencer Haywood*,203,102,University of Detroit Mercy,1949,Silver City,Mississippi
Spencer Hawes,216,111,University of Washington,1988,Seattle,Washington
Spencer Dinwiddie,198,90,University of Colorado,1993,Los Angeles,California
Speedy Claxton,180,75,Hofstra University,1978,Queens,New York
Soumaila Samake,213,104,,1978,Bougouni,Mali
Sonny Weems,198,92,University of Arkansas,1986,West Memphis,Arkansas
Sonny Parker,198,90,Texas A&M University,1955,Chicago,Illinois
Sonny Hertzberg,178,79,City College of New York,1922,Brooklyn,New York
Sonny Dove,201,89,St. John's University,1945,Brooklyn,New York
Solomon Jones,208,104,University of South Florida,1984,Eustis,Florida
Solomon Hill,201,102,University of Arizona,1991,Los Angeles,California
Solomon Alabi,216,113,Florida State University,1988,Kaduna,Nigeria
Smush Parker,193,86,Fordham University,1981,New York,New York
Sly Williams,201,95,University of Rhode Island,1958,New Haven,Connecticut
Slick Watts,185,79,Xavier University of Louisiana,1951,Rolling Ford,Mississippi
Slick Leonard*,190,83,Indiana University,1932,Terre Haute,Indiana
Sleepy Floyd,190,77,Georgetown University,1960,Gastonia,North Carolina
Slavko Vranes,226,124,,1983,Belgrade,Serbia
Slater Martin*,178,77,University of Texas at Austin,1925,El Mina,Texas
Skippy Whitaker,185,81,University of Kentucky,1930,,
Skip Harlicka,185,83,University of South Carolina,1946,,
Skeeter Henry,201,86,University of Oklahoma,1967,Dallas,Texas
Skal Labissiere,211,102,University of Kentucky,1996,Port-Au-Prince,Haiti
Sim Bhullar,226,163,New Mexico State University,1992,Ontario,Canada
Sidney Wicks,203,102,"University of California, Los Angeles",1949,Los Angeles,California
Sidney Moncrief,190,81,University of Arkansas,1957,Little Rock,Arkansas
Sidney Lowe,183,88,North Carolina State University,1960,Washington,District of Columbia
Sidney Green,188,83,Duquesne University,1933,New York,New York
Sid Catlett,198,104,University of Notre Dame,1948,,
Si Green,188,83,Duquesne University,1933,New York,New York
Sherwin Raiken,188,83,Villanova University,1928,,
Sherron Collins,180,92,University of Kansas,1987,Chicago,Illinois
Sherman Douglas,183,81,Syracuse University,1966,Washington,District of Columbia
Sherell Ford,201,95,University of Illinois at Chicago,1972,Baton Rouge,Louisiana
Shelvin Mack,190,92,Butler University,1990,Lexington,Kentucky
Shelton Jones,206,95,St. John's University,1966,Copaigue,New York
Shellie McMillon,196,92,Bradley University,1936,,
Sheldon McClellan,196,90,University of Miami,1992,Houston,Texas
Shelden Williams,185,91,University of North Carolina,1975,Bronx,New York
Shea Seals,196,95,University of Tulsa,1975,Tulsa,Oklahoma
Shayne Whittington,211,113,Western Michigan University,1991,Paw Paw,Michigan
Shawnelle Scott,208,113,St. John's University,1972,New York,New York
Shawne Williams,185,91,University of North Carolina,1975,Bronx,New York
Shawn Respert,185,88,Michigan State University,1972,Detroit,Michigan
Shawn Marion,201,99,"University of Nevada, Las Vegas",1978,Waukegan,Illinois
Shawn Long,206,115,University of Louisiana at Lafayette,1993,Morgan City,Louisiana
Shawn Kemp,208,104,Trinity Valley Community College,1969,Elkhart,Indiana
Shawn Bradley,229,106,Brigham Young University,1972,Landstuhl,Germany
Shavlik Randolph,208,108,Duke University,1983,Raleigh,North Carolina
Shaun Livingston,201,87,,1985,Peoria,Illinois
Sharrod Ford,201,95,University of Illinois at Chicago,1972,Baton Rouge,Louisiana
Sharone Wright,211,117,Clemson University,1973,Macon,Georgia
Shareef Abdur-Rahim,206,102,University of California,1976,Marietta,Georgia
Shaquille O'Neal*,216,147,Louisiana State University,1972,Newark,New Jersey
Shannon Brown,193,92,Michigan State University,1985,Maywood,Illinois
Shane Larkin,180,79,University of Miami,1992,Cincinnati,Ohio
Shane Heal,183,81,,1970,Melbourne,Australia
Shane Edwards,201,99,University of Arkansas at Little Rock,1987,Los Angeles,California
Shane Battier,203,99,Duke University,1978,Birmingham,Michigan
Shandon Anderson,198,94,University of Georgia,1973,Atlanta,Georgia
Shammond Williams,185,91,University of North Carolina,1975,Bronx,New York
Shaler Halimon,196,90,Utah State University,1945,Tampa,Florida
Shabazz Napier,185,79,University of Connecticut,1991,Roxbury,Massachusetts
Shabazz Muhammad,198,101,"University of California, Los Angeles",1992,Los Angeles,California
Seth Curry,188,83,Duke University,1990,Charlotte,North Carolina
Sergio Rodriguez,190,79,,1986,Tenerife,Spain
Sergey Karasev,201,94,,1993,St. Petersburg,Russia
Sergei Monia,203,99,,1983,Saratov,Russia
Sergei Bazarevich,188,76,,1965,Moscow,Russia
Serge Ibaka,208,106,,1989,Brazzaville,Republic of the Congo
Semih Erden,213,108,,1986,Istanbul,Turkey
Semaj Christon,190,86,Xavier University,1992,Cincinnati,Ohio
Sedric Toney,188,80,University of Dayton,1962,Columbus,Mississippi
Sedale Threatt,188,79,West Virginia University Institute of Technology,1961,Atlanta,Georgia
Sebastian Telfair,183,74,,1985,Brooklyn,New York
Sean Williams,208,106,Boston College,1986,Houston,Texas
Sean Singletary,183,83,University of Virginia,1985,Philadelphia,Pennsylvania
Sean Rooks,208,113,University of Arizona,1969,New York,New York
Sean May,206,120,University of North Carolina,1984,Chicago,Illinois
Sean Marks,208,113,University of California,1975,Auckland,New Zealand
Sean Lampley,201,102,University of California,1979,Harvey,Illinois
Sean Kilpatrick,193,95,University of Cincinnati,1990,Yonkers,New York
Sean Higgins,206,92,University of Michigan,1968,Los Angeles,California
Sean Green,196,95,Iona College,1970,Santa Monica,California
Sean Elliott,203,92,University of Arizona,1968,Tucson,Arizona
Sean Colson,183,79,University of North Carolina at Charlotte,1975,Philadelphia,Pennsylvania
Scotty Hopson,201,92,University of Tennessee,1989,Hopkinsville,Kentucky
Scottie Pippen*,203,95,University of Central Arkansas,1965,Hamburg,Arkansas
Scott Williams,208,104,University of North Carolina,1968,Hacienda Heights,California
Scott Wedman,201,97,University of Colorado,1952,Harper,Kansas
Scott Skiles,185,81,Michigan State University,1964,LaPorte,Indiana
Scott Sims,185,77,University of Missouri,1955,Kirksville,Missouri
Scott Roth,203,96,University of Wisconsin,1963,Cleveland,Ohio
Scott Padgett,206,108,University of Kentucky,1976,Louisville,Kentucky
Scott Meents,208,102,University of Illinois at Urbana-Champaign,1964,Kankakee,Illinois
Scott May,201,97,Indiana University,1954,Sandusky,Ohio
Scott Machado,185,92,Iona College,1990,Queens,New York
Scott Lloyd,208,104,Arizona State University,1952,Chicago,Illinois
Scott Hastings,208,106,University of Arkansas,1960,Independence,Kansas
Scott Haskin,211,113,Oregon State University,1970,Riverside,California
Scott Haffner,190,81,University of Evansville,1966,Terre Haute,Indiana
Scott English,198,92,University of Texas at El Paso,1950,Evanston,Illinois
Scott Burrell,201,98,University of Connecticut,1971,New Haven,Connecticut
Scott Brooks,180,74,"University of California, Irvine",1965,French Camp,California
Scot Pollard,211,120,University of Kansas,1975,Murray,Utah
Scooter McCray,206,97,University of Louisville,1960,Mount Vernon,New York
Sasha Vujacic,201,88,,1984,Maribor,Slovenia
Sasha Pavlovic,211,122,,1984,,
Sasha Kaun,211,117,University of Kansas,1985,Tomsk,Russia
Sasha Danilovic,196,90,,1970,Sarajevo,Bosnia and Herzegovina
Sarunas Marciulionis*,196,90,,1964,Kaunas,Lithuania
Sarunas Jasikevicius,193,88,University of Maryland,1976,Kaunas,Lithuania
Samuel Dalembert,211,115,Seton Hall University,1981,Port-Au-Prince,Haiti
Samardo Samuels,206,117,University of Louisville,1989,Trelawny,Jamaica
Samaki Walker,206,108,University of Louisville,1976,Columbus,Ohio
Sam Young,198,99,University of Pittsburgh,1985,Washington,District of Columbia
Sam Worthen,196,88,Marquette University,1958,Brooklyn,New York
Sam Williams,190,81,University of Iowa,1945,,
Sam Vincent,188,83,Michigan State University,1963,Lansing,Michigan
Sam Stith,188,83,St. Bonaventure University,1937,Greenville County,Virginia
Sam Smith,201,104,Kentucky Wesleyan College,1944,Hazard,Kentucky
Sam Sibert,201,97,Kentucky State University,1949,,
Sam Ranzino,185,83,North Carolina State University,1927,Gary,Indiana
Sam Perkins,206,106,University of North Carolina,1961,Brooklyn,New York
Sam Pellom,206,102,"University at Buffalo, State University of New York",1951,Wilmington,North Carolina
Sam Mitchell,198,95,Mercer University,1963,Columbus,Georgia
Sam Mack,201,99,University of Houston,1970,Chicago,Illinois
Sam Lacey,208,106,New Mexico State University,1948,Indianaola,Mississippi
Sam Jones*,193,89,North Carolina Central University,1933,Wilmington,North Carolina
Sam Jacobson,193,97,University of Minnesota,1975,Cottage Grove,Minnesota
Sam Dekker,206,104,University of Wisconsin,1994,Sheboygan,Wisconsin
Sam Cassell,190,83,Florida State University,1969,Baltimore,Maryland
Sam Bowie,216,106,University of Kentucky,1961,Lebanon,Pennsylvania
Salim Stoudamire,185,81,University of Arizona,1982,Portland,Oregon
Salah Mejri,216,111,,1986,Jendouba,Tunisia
Ryan Stack,211,97,University of South Carolina,1975,Nashville,Tennessee
Ryan Robertson,196,86,University of Kansas,1976,Lawton,Oklahoma
Ryan Reid,203,105,Florida State University,1986,Lauderdale Lakes,Florida
Ryan Lorthridge,193,86,Jackson State University,1972,Nashville,Tennessee
Ryan Kelly,211,104,Duke University,1991,Carmel,New York
Ryan Humphrey,203,106,University of Notre Dame,1979,Tulsa,Oklahoma
Ryan Hollins,213,108,"University of California, Los Angeles",1984,Pasadena,California
Ryan Gomes,201,113,Providence College,1982,Waterbury,Connecticut
Ryan Bowen,201,97,University of Iowa,1975,Fort Madison,Iowa
Ryan Anderson,208,108,University of California,1988,Sacramento,California
Rusty LaRue,188,95,Wake Forest University,1973,Winston-Salem,North Carolina
Russell Westbrook,190,90,"University of California, Los Angeles",1988,Long Beach,California
Russell Cross,208,97,Purdue University,1961,Chicago,Illinois
Russ Smith,183,74,University of Louisville,1991,New York,New York
Russ Schoene,208,95,University of Tennessee at Chattanooga,1960,Trenton,Illinois
Russ Lee,196,83,Marshall University,1950,Boston,Massachusetts
Rumeal Robinson,188,88,University of Michigan,1966,Mandeville,Jamaica
Rudy White,188,88,Arizona State University,1953,Silver City,New Mexico
Rudy Tomjanovich,203,98,University of Michigan,1948,Hamtramck,Michigan
Rudy Macklin,201,92,Louisiana State University,1958,Louisville,Kentucky
Rudy LaRusso,201,99,Dartmouth College,1937,Brooklyn,New York
Rudy Hackett,206,95,Syracuse University,1953,Mount Vernon,New York
Rudy Gobert,216,111,,1992,Saint-Quentin,France
Rudy Gay,203,104,University of Connecticut,1986,Brooklyn,New York
Rudy Fernandez,198,83,,1985,Palma de Mallorca,Spain
Ruben Wolkowyski,208,122,,1973,Buenos Aries,Argentina
Ruben Patterson,196,101,University of Cincinnati,1975,Cleveland,Ohio
Ruben Nembhard,190,94,Weber State University,1972,Bronx,New York
Ruben Garces,206,111,Providence College,1973,Colon,Panama
Ruben Boumtje-Boumtje,213,116,Georgetown University,1978,Edda,Cameroon
Royce White,203,95,University of South Alabama,1959,Tuskegee,Alabama
Royal Ivey,190,90,University of Texas at Austin,1981,Harlem,New York
Roy Tarpley,211,104,University of Michigan,1964,New York,New York
Roy Rogers,201,106,Wake Forest University,1971,Durham,North Carolina
Roy Marble,198,86,University of Iowa,1966,Flint,Michigan
Roy Hinson,206,95,Rutgers University,1961,Trenton,New Jersey
Roy Hibbert,218,122,Georgetown University,1986,Queens,New York
Roy Hamilton,188,81,"University of California, Los Angeles",1957,Los Angeles,California
Rowland Garrett,198,95,Florida State University,1950,Canton,Mississippi
Roshown McLeod,203,100,Duke University,1975,Jersey City,New Jersey
Rory White,203,95,University of South Alabama,1959,Tuskegee,Alabama
Rory Sparrow,188,79,Villanova University,1958,Suffolk,Virginia
Rony Seikaly,211,104,Syracuse University,1965,Beirut,Lebanon
Ronny Turiaf,208,112,Gonzaga University,1983,Le Robert,Martinique
Ronnie Valentine,201,95,Old Dominion University,1957,Norfolk,Virginia
Ronnie Price,188,86,Utah Valley State College,1983,Friendswood,Texas
Ronnie Murphy,196,102,Jacksonville University,1964,Dover,Delaware
Ronnie MacGilvray,188,83,St. John's University,1930,,
Ronnie Lester,188,79,University of Iowa,1959,Canton,Mississippi
Ronnie Brewer,193,81,University of Arkansas,1955,Fort Smith,Arkansas
Rondae Hollis-Jefferson,201,99,University of Arizona,1995,Chester,Pennsylvania
Ronald Murray,193,86,Shaw University,1979,Philadelphia,Pennsylvania
Ronald Dupree,201,94,Louisiana State University,1981,Biloxi,Mississippi
Ron Williams,190,85,West Virginia University,1944,Weirton,West Virginia
Ron Watts,198,95,Wake Forest University,1943,,
Ron Sobie,190,83,DePaul University,1934,Chicago,Illinois
Ron Shavlik,203,90,North Carolina State University,1933,Denver,Colorado
Ron Rowan,196,90,St. John's University,1962,New Brighton,Pennsylvania
Ron Riley,203,88,University of Southern California,1950,Los Angeles,California
Ron Reed,196,92,University of Notre Dame,1942,La Porte,Indiana
Ron Moore,213,117,West Virginia State University,1962,New York,New York
Ron Mercer,201,95,University of Kentucky,1976,Nashville,Tennessee
Ron Livingstone,208,99,University of Wyoming,1925,,
Ron Lee,193,87,University of Oregon,1952,Boston,Massachusetts
Ron Knight,201,97,"California State University, Los Angeles",1947,,
Ron Johnson,203,97,University of Minnesota,1938,,
Ron Horn,201,99,Indiana University,1938,Marion,Indiana
Ron Harper,198,83,Miami University,1964,Dayton,Ohio
Ron Grandison,198,97,University of New Orleans,1964,Los Angeles,California
Ron Filipek,196,92,Tennessee Technological University,1944,,
Ron Feiereisel,190,83,DePaul University,1931,,
Ron Davis,198,89,Washington State University,1954,Phoenix,Arizona
Ron Crevier,213,106,Boston College,1958,Montreal,Canada
Ron Cavenall,216,104,Texas Southern University,1959,Beaumont,Texas
Ron Carter,196,86,Virginia Military Institute,1956,Pittsburgh,Pennsylvania
Ron Brewer,193,81,University of Arkansas,1955,Fort Smith,Arkansas
